Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,20/11/2022 16:00,Al Bayt Stadium,Qatar,Ecuador,Group A,
2,1,20/11/2022 16:00,Al Thumama Stadium,Senegal,Netherlands,Group A,
3,2,25/11/2022 13:00,Al Thumama Stadium,Qatar,Senegal,Group A,
4,2,25/11/2022 16:00,Khalifa International Stadium,Netherlands,Ecuador,Group A,
5,3,29/11/2022 15:00,Al Bayt Stadium,Netherlands,Qatar,Group A,
6,3,29/11/2022 15:00,Khalifa International Stadium,Ecuador,Senegal,Group A,
7,1,21/11/2022 13:00,Khalifa International Stadium,England,Iran,Group B,
8,1,21/11/2022 17:00,Ahmad Bin Ali Stadium,USA,Wales,Group B,
9,2,25/11/2022 10:00,Ahmad Bin Ali Stadium,Wales,Iran,Group B,
10,2,25/11/2022 19:00,Al Bayt Stadium,England,USA,Group B,
11,3,29/11/2022 19:00,Ahmad Bin Ali Stadium,Wales,England,Group B,
12,3,29/11/2022 19:00,Al Thumama Stadium,Iran,USA,Group B,
13,1,22/11/2022 10:00,Lusail Stadium,Argentina,Saudi Arabia,Group C,
14,1,22/11/2022 16:00,Stadium 974,Mexico,Poland,Group C,
15,2,26/11/2022 13:00,Education City Stadium,Poland,Saudi Arabia,Group C,
16,2,26/11/2022 19:00,Lusail Stadium,Argentina,Mexico,Group C,
17,3,30/11/2022 19:00,Stadium 974,Poland,Argentina,Group C,
18,3,30/11/2022 19:00,Lusail Stadium,Saudi Arabia,Mexico,Group C,
19,1,22/11/2022 13:00,Education City Stadium,Denmark,Tunisia,Group D,
20,1,22/11/2022 19:00,Al Janoub Stadium,France,Australia,Group D,
21,2,26/11/2022 10:00,Al Janoub Stadium,Tunisia,Australia,Group D,
22,2,26/11/2022 16:00,Stadium 974,France,Denmark,Group D,
23,3,30/11/2022 15:00,Education City Stadium,Tunisia,France,Group D,
24,3,30/11/2022 15:00,Al Janoub Stadium,Australia,Denmark,Group D,
25,1,23/11/2022 13:00,Khalifa International Stadium,Germany,Japan,Group E,
26,1,23/11/2022 16:00,Al Thumama Stadium,Spain,Costa Rica,Group E,
27,2,27/11/2022 10:00,Ahmad Bin Ali Stadium,Japan,Costa Rica,Group E,
28,2,27/11/2022 19:00,Al Bayt Stadium,Spain,Germany,Group E,
29,3,01/12/2022 19:00,Khalifa International Stadium,Japan,Spain,Group E,
30,3,01/12/2022 19:00,Al Bayt Stadium,Costa Rica,Germany,Group E,
31,1,23/11/2022 10:00,Al Bayt Stadium,Morocco,Croatia,Group F,
32,1,23/11/2022 19:00,Ahmad Bin Ali Stadium,Belgium,Canada,Group F,
33,2,27/11/2022 13:00,Al Thumama Stadium,Belgium,Morocco,Group F,
34,2,27/11/2022 16:00,Khalifa International Stadium,Croatia,Canada,Group F,
35,3,01/12/2022 15:00,Ahmad Bin Ali Stadium,Croatia,Belgium,Group F,
36,3,01/12/2022 15:00,Al Thumama Stadium,Canada,Morocco,Group F,
37,1,24/11/2022 10:00,Al Janoub Stadium,Switzerland,Cameroon,Group G,
38,1,24/11/2022 19:00,Lusail Stadium,Brazil,Serbia,Group G,
39,2,28/11/2022 10:00,Al Janoub Stadium,Cameroon,Serbia,Group G,
40,2,28/11/2022 16:00,Stadium 974,Brazil,Switzerland,Group G,
41,3,02/12/2022 19:00,Lusail Stadium,Cameroon,Brazil,Group G,
42,3,02/12/2022 19:00,Stadium 974,Serbia,Switzerland,Group G,
43,1,24/11/2022 13:00,Education City Stadium,Uruguay,Korea Republic,Group H,
44,1,24/11/2022 16:00,Stadium 974,Portugal,Ghana,Group H,
45,2,28/11/2022 13:00,Education City Stadium,Korea Republic,Ghana,Group H,
46,2,28/11/2022 19:00,Lusail Stadium,Portugal,Uruguay,Group H,
47,3,02/12/2022 15:00,Education City Stadium,Korea Republic,Portugal,Group H,
48,3,02/12/2022 15:00,Al Janoub Stadium,Ghana,Uruguay,Group H,
